yyyy/mmdd(or -ddd)/hh.h):2008/ 101/12.0LT  geog Lat/Long/Alt=-25.0/ 125.0/ 300.0

IRIcor2 is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
Tru-2021 option is used for the ion temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 536845.4   NmF1= 244579.9   NmE= 143245.0
Peak Heights/km:     hmF2=   275.16   hmF1=   184.20   hmE=   110.00

Solar Zenith Angle/degree                               2.2
Dip (Magnetic Inclination)/degree                     -57.93
Modip (Modified Dip)/degree                           -46.73
Solar Sunspot Number (12-months running mean) Rz12      4.5           
Ionospheric-Effective Solar Index IG12                 -5.5           
Solar radio flux F10.7 (daily)                         76.7           
Solar radio flux F10.7 (81-day average)                72.9           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 510.0   71428  0.133   862  1315  2365 938  32  28   1   0   0  -1  12.5  58
 515.0   68478  0.128   862  1332  2364 936  33  30   1   0   0  -1  12.5  58
 520.0   65700  0.122   862  1349  2364 933  33  32   1   0   0  -1  12.5  58
 525.0   63086  0.118   862  1366  2364 931  34  34   2   0   0  -1  12.5  58
 530.0   60627  0.113   862  1382  2365 928  34  36   2   0   0  -1  12.5  58
 535.0   58314  0.109   862  1399  2366 925  35  38   2   0   0  -1  12.5  58
 540.0   56139  0.105   862  1416  2369 922  35  41   2   0   0  -1  12.5  58
 545.0   54095  0.101   862  1433  2373 920  35  43   2   0   0  -1  12.5  58
 550.0   52174  0.097   862  1449  2379 917  36  45   2   0   0  -1  12.5  58
 555.0   50370  0.094   862  1466  2388 914  36  47   2   0   0  -1  12.5  58
 560.0   48677  0.091   862  1483  2398 912  36  50   2   0   0  -1  12.5  58
 565.0   47089  0.088   862  1499  2409 909  37  52   2   0   0  -1  12.5  58
 570.0   45600  0.085   862  1516  2422 907  37  54   2   0   0  -1  12.5  58
 575.0   44203  0.082   862  1532  2436 904  37  56   2   0   0  -1  12.5  58
 580.0   42896  0.080   862  1548  2450 902  38  58   2   0   0  -1  12.5  58
 585.0   41671  0.078   862  1564  2465 900  38  60   2   0   0  -1  12.5  58
 590.0   40524  0.075   862  1579  2480 897  38  62   2   0   0  -1  12.5  58
 595.0   39450  0.073   862  1594  2495 895  39  64   2   0   0  -1  12.5  58
 600.0   38445  0.072   862  1608  2510 893  39  65   3   0   0  -1  12.5  58
 605.0   37504  0.070   862  1621  2526 891  39  67   3   0   0  -1  12.5  58
 610.0   36621  0.068   862  1633  2541 889  40  69   3   0   0  -1  12.5  58
 615.0   35793  0.067   862  1645  2556 886  40  71   3   0   0  -1  12.5  58
 620.0   35015  0.065   862  1656  2572 884  40  73   3   0   0  -1  12.5  58
 625.0   34283  0.064   862  1667  2587 882  40  75   3   0   0  -1  12.5  58
 630.0   33592  0.063   862  1678  2602 880  41  77   3   0   0  -1  12.5  58
 635.0   32940  0.061   862  1688  2618 877  41  79   3   0   0  -1  12.5  58
 640.0   32321  0.060   862  1698  2633 875  41  81   3   0   0  -1  12.5  58
 645.0   31734  0.059   862  1709  2648 873  42  83   3   0   0  -1  12.5  58
 650.0   31175  0.058   862  1719  2664 870  42  85   3   0   0  -1  12.5  58
 655.0   30641  0.057   862  1729  2679 868  42  87   3   0   0  -1  12.5  58
 660.0   30131  0.056   862  1739  2694 865  42  89   3   0   0  -1  12.5  58
 665.0   29642  0.055   862  1750  2710 863  43  92   3   0   0  -1  12.5  58
 670.0   29172  0.054   862  1760  2725 860  43  94   3   0   0  -1  12.5  58
 675.0   28721  0.053   862  1770  2740 858  43  96   3   0   0  -1  12.5  58
 680.0   28286  0.053   862  1780  2756 855  43  98   3   0   0  -1  12.5  58
 685.0   27867  0.052   862  1791  2771 852  44 101   3   0   0  -1  12.5  58
 690.0   27325  0.051   862  1801  2786 849  44 103   3   0   0  -1  12.5  58
 695.0   26696  0.050   862  1811  2802 847  44 106   3   0   0  -1  12.5  58
 700.0   26089  0.049   862  1821  2817 844  45 108   3   0   0  -1  12.5  58
